Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Igualada,Barcelona,16.2 (14:00),0.3 (07:40),8.3,13 (15:50),6 (21:50),0,0,0,0,0
"Corbera, Pic d'Agulles",Barcelona,12.7 (14:50),4.1 (22:50),8.4,,,0,0,0,0,0
Barcelona,Barcelona,16.2 (13:30),6.6 (04:40),11.4,23 (08:30),18 (07:50),0,0,0,0,0
"Barcelona, Museo Marítimo",Barcelona,17.2 (14:40),8.6 (05:20),12.9,13 (23:50),8 (23:59),0,0,0,0,0
Caldes de Montbui,Barcelona,15.6 (14:40),0.2 (06:50),7.9,15 (03:30),11 (21:00),0,0,0,0,0
Vilassar de Dalt,Barcelona,17.2 (12:10),8.6 (03:10),12.9,18 (22:10),9 (22:10),0,0,0,0,0
Arenys de Mar,Barcelona,,,,,,,,,,
Santa Susanna,Barcelona,14.6 (13:40),3.5 (03:50),9.1,26 (13:00),15 (13:00),,,,,
Fogars de Montclús,Barcelona,11.3 (11:30),6.1 (18:40),8.7,,,0,0,0,0,0
Tona,Barcelona,,,,,,,0,,0,0
Sant Julià  de Vilatorta,Barcelona,12.8 (16:00),-2.6 (08:00),5.1,9 (13:00),5 (12:50),0,0,0,0,0
Lekeitio,Bizkaia,8.5 (20:10),5.7 (06:50),7.1,17 (16:00),11 (10:20),0,0,0,0,0
Forua,Bizkaia,7.3 (17:00),2.9 (06:40),5.1,11 (11:10),7 (11:10),0,0,0,0,0
Machichaco,Bizkaia,8.4 (14:10),6.1 (00:00),7.2,26 (02:00),15 (01:50),0,0,0,0,0
Punta Galea,Bizkaia,,,,,,,,,,
Orozko,Bizkaia,7.5 (14:20),-0.2 (09:20),3.6,9 (14:50),4 (13:50),0.2,0,0.2,0,0
Abadiño,Bizkaia,7.3 (01:40),2.2 (18:00),4.8,,,0.2,0,0,0,0.2
Amorebieta--Etxano,Bizkaia,6.5 (16:40),1.2 (06:40),3.9,8 (10:00),5 (10:00),0.2,0,0,0.2,0
Balmaseda,Bizkaia,7.2 (17:30),-2.5 (08:00),2.3,,,0,0,0,0,0
Güeñes,Bizkaia,6.2 (21:10),-1.5 (08:10),2.3,11 (19:40),5 (19:40),0,0,0,0,0
Bilbao Aeropuerto,Bizkaia,8.1 (16:30),1.7 (07:00),4.9,15 (10:00),12 (10:00),0,0,0,0,0
Sopuerta,Bizkaia,7.9 (15:20),1.2 (06:50),4.6,9 (15:50),5 (18:30),0.2,0.2,0,0,0
Coruña del Conde,Burgos,10.1 (16:30),-3.1 (09:00),3.5,15 (14:40),9 (16:10),0,0,0,0,0
Aranda de Duero,Burgos,10.0 (16:30),-6.4 (08:50),1.8,14 (13:30),7 (13:30),0,0,0,0,0
Villadiego,Burgos,14.5 (15:00),2.5 (23:59),8.5,25 (17:00),22 (04:50),0,0,0,0,0
